,title,description,originallink,link,pubDate
32,"'서울대작전' 문소리·정웅인→송민호, 막강 조연 라인업 공개",개성 넘치는 배우들의 연기 시너지 예고...26일 공개 배우 문소리부터 <b>위너</b> 송민호까지 &apos;서울대작전&apos;을... 문소리 김성균 오정세 정웅인 그리고 <b>위너</b>의 송민호는 개성 넘치는 연기를 예고해 기대감을 높였다. 작품은 1988년... ,http://news.tf.co.kr/read/entertain/1958653.htm,https://n.news.naver.com/mnews/article/629/0000166909?sid=106,"Tue, 16 Aug 2022 10:13:00 +0900"
33,"송민호, 넷플릭스 '서울대작전' 통해 연기 도전...유아인 질투남 찰떡 소화","그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호는 이번 작품을 통해 처음으로 연기에 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라, 유독... ",http://www.newsinside.kr/news/articleView.html?idxno=1140352,http://www.newsinside.kr/news/articleView.html?idxno=1140352,"Tue, 16 Aug 2022 10:02:00 +0900"
34,"‘서울대작전’ 문소리→연기 도전 송민호, 초호화 조연 라인업","여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 ‘서울대작전’ ‘갈치’ 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한... ",http://www.sportsworldi.com/newsView/20220816506971,https://n.news.naver.com/mnews/article/396/0000621641?sid=106,"Tue, 16 Aug 2022 09:58:00 +0900"
35,"문소리→김성균·송민호, '서울대작전' 완성할 조연 라인업","16일 넷플릭스는 문소리, 김성균, 오정세, 정웅인, 그룹 <b>위너</b> 송민호가 &apos;서울대작전&apos;에 출연한다고 알렸다. &apos;서울대작전&apos;은 1988년, 아메리칸 드림을 꿈꾸는 상계동 슈프림팀이 거부할 수 없는 제안을 받고 VIP 비자금 수사... ",https://www.dailian.co.kr/news/view/1142861/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002630400?sid=106,"Tue, 16 Aug 2022 09:34:00 +0900"
36,"'서울대작전' 송민호, 첫 연기 도전..압도적 배우들과 함께","여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 &apos;서울대작전&apos;에서 &apos;갈치&apos; 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고... ",http://star.mt.co.kr/stview.php?no=2022081609241126706,https://n.news.naver.com/mnews/article/108/0003079144?sid=106,"Tue, 16 Aug 2022 09:31:00 +0900"
37,"위너 송민호 연기 도전, 넷플릭스 ‘서울대작전’ 조연 라인업 공개","여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 ‘서울대작전’ 갈치 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고... ",http://mksports.co.kr/view/2022/720990/,https://n.news.naver.com/mnews/article/410/0000888068?sid=106,"Tue, 16 Aug 2022 09:23:00 +0900"
38,"송민호, 넷플릭스 '서울대작전'으로 연기 첫 도전… OST도 참여","그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호 씨는 이번 작품을 통해 처음으로 연기에 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라, 유독... ",https://star.ytn.co.kr/_sn/0117_202208160923505885,https://n.news.naver.com/mnews/article/052/0001777169?sid=106,"Tue, 16 Aug 2022 09:23:00 +0900"
39,문소리→송민호…'서울대작전' D-10 초호화 조연 라인업 공개,"여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 ‘갈치’ 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라, 유독... ",http://starin.edaily.co.kr/news/newspath.asp?newsid=01151286632427976,https://n.news.naver.com/mnews/article/018/0005292829?sid=106,"Tue, 16 Aug 2022 09:21:00 +0900"
40,문소리부터 송민호까지…'서울대작전' 초호화 조연 라인업,"여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 &apos;서울대작전&apos; 갈치 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라... ",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202208160909776694&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news,https://n.news.naver.com/mnews/article/117/0003636046?sid=106,"Tue, 16 Aug 2022 09:17:00 +0900"
41,[넷플릭스] '서울대작전' 문소리부터 연기도전 송민호까지...조연 라인업 공개,"여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 &apos;서울대작전&apos; ‘갈치’ 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고... ",https://www.sportsw.kr/news/newsview.php?ncode=1065571900070994,https://www.sportsw.kr/news/newsview.php?ncode=1065571900070994,"Tue, 16 Aug 2022 09:16:00 +0900"
42,"문소리·오정세→송민호, '서울대작전' 저 세상 HIP 조연 배우 라인업","여기에 그룹 <b>위너</b>, 아티스트 MINO로 성공적인 행보를 이어옴과 동시에 다양한 프로그램을 통해 천부적인 예능감을 뽐낸 송민호가 &apos;갈치&apos; 역으로 연기에 첫 도전한다. 상계동 슈프림팀과 한 동네에서 나고 자라, 유독 &apos;동욱... ",http://www.slist.kr/news/articleView.html?idxno=376900,http://www.slist.kr/news/articleView.html?idxno=376900,"Tue, 16 Aug 2022 09:08:00 +0900"
43,[해외 칼럼]트럼프와 준법정신,전 연방 하원의원 앤서니 <b>위너</b>의 랩탑에서 발견된 여러 통의 이메일이 재수사 이유였다. 통상적으로 법부무는 선거일이 임박한 상황에서 선거 결과에 영향을 줄 수 있는 사안에 대해 공개적으로 수사에 착수하지 않는 것을... ,https://www.sedaily.com/NewsView/269TJFC4CF,https://n.news.naver.com/mnews/article/011/0004087732?sid=004,"Tue, 16 Aug 2022 08:01:00 +0900"
44,'결실의 계절' 레고켐바이오…내달 ADC 플랫폼 임상결과 첫 공개,레고켐바이오는 해당 어워즈에서 유일하게 4년 연속 &apos;베스트ADC플랫폼테크놀로지&apos; <b>위너</b>에 선정된 기업이다. 지난해 심사위원들은 레고켐바이오 기술에 대해 &apos;어떤 톡신과도 접합할 수 있는 매우 독창적이고 혁신적인... ,http://news.mt.co.kr/mtview.php?no=2022081215314241985,https://n.news.naver.com/mnews/article/008/0004783140?sid=101,"Tue, 16 Aug 2022 07:30:00 +0900"
45,"울산시, K팝 사관학교 설립 본격화...'아이돌 명문고' 문 여나","소녀시대 서현, 트와이스 쯔위, 비투비 육성재·정일훈, <b>위너</b> 송민호·남태현, 유키스 동호 등의 아이돌 스타가 이 학교 출신이다. 상서고는 △연예매니지먼트과(120여명)를 운영하면서 K팝 등 다양한... ",http://www.iusm.co.kr/news/articleView.html?idxno=954777,http://www.iusm.co.kr/news/articleView.html?idxno=954777,"Mon, 15 Aug 2022 22:22:00 +0900"
46,"[LCK CL] 침착하게 경기 풀어간 젠지, 4세트 역전승",&apos;<b>위너</b>&apos; 우주성이 바이로 더블 킬을 기록하는 활약을 보여주며 한타 승리를 이끌었다. 기세를 잡은 젠지는 23분 한타에서도 완승을 거뒀다. 쉽지 않은 구도에서 열린 싸움에서 &apos;페이즈&apos; 김수환이 칼리스타로 트리플 킬을... ,http://www.dailyesports.com/view.php?ud=202208152034063446a7594bcb2f_27,https://sports.news.naver.com/news.nhn?oid=347&aid=0000165602,"Mon, 15 Aug 2022 20:36:00 +0900"
47,"세종시 출범 10주년, 특산품 복숭아 요리 창조하라","본선은 현장평가로 진행돼 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다.... ",http://www.ccnnews.co.kr/news/articleView.html?idxno=265968,http://www.ccnnews.co.kr/news/articleView.html?idxno=265968,"Mon, 15 Aug 2022 19:10:00 +0900"
48,"지드래곤·박재범·송가인..★들도 광복절 기념 ""대한독립만세"" [종합]","배우 김소현은 광복절을 기념해 &quot;National Liberation Day of Korea(한국 해방 기념일). 1945.8.15 77주년 광복절&quot;이라고 적으며 광복절을 알렸고, 그룹 <b>위너</b> 강승윤 등도 태극기 사진을 게재하며 광복절을 기념했다.",http://star.mt.co.kr/stview.php?no=2022081518110363396,https://n.news.naver.com/mnews/article/108/0003079054?sid=106,"Mon, 15 Aug 2022 19:07:00 +0900"
49,8월16일 동정,"멤버 겸 배우 박진영과 가수 겸 방송인 이미주는 3000만원을, 배우 임시완과 탤런트 강태오가 각각 2000만원을, 그룹 <b>위너</b> 김진우, 배우 홍수현·윤세아, 개그우먼 박나래, 방송인 유병재도 각각 1000만원을 전달했다.",https://www.hani.co.kr/arti/society/ngo/1054820.html,https://n.news.naver.com/mnews/article/028/0002602453?sid=102,"Mon, 15 Aug 2022 18:55:00 +0900"
50,"[LCK CL] 결정적인 교전 승리 따낸 젠지, 1세트 승리",미드에서도 &apos;<b>위너</b>&apos; 우주성이 비에고로 날카로운 갱킹을 보여주며 르블랑을 플레이한 &apos;세탭&apos; 송경진의 점멸을 뽑았다. 좋은 흐름 속에서 바텀 갱킹을 허용하며 노틸러스를 플레이한 &apos;로스파&apos; 박준형이 잡혔지만 첫 번째... ,http://www.dailyesports.com/view.php?ud=202208151748043001a7594bcb2f_27,https://sports.news.naver.com/news.nhn?oid=347&aid=0000165596,"Mon, 15 Aug 2022 17:50:00 +0900"
51,"""RE100 더 늦으면 경쟁력 약화""…이재용 '탄소중립 결단'만 남았다",김형남 삼성전자 글로벌CS센터장 부사장은 지난달 21일 ‘올해의 에너지<b>위너</b>상’ 시상식에서 올해 처음 신설된 ‘탄소중립<b>위너</b>상’을 수상한 뒤 “삼성전자는 구매·제조·유통 등 전 부문에 걸쳐 에너지 고효율... ,https://www.sedaily.com/NewsView/269T45MPDQ,https://n.news.naver.com/mnews/article/011/0004087654?sid=101,"Mon, 15 Aug 2022 17:28:00 +0900"
52,"방탄소년단, 개인활동에도 세븐틴·NCT 제치고 8월 보이그룹 브랜드평판 1위","4위, <b>위너</b> ( 강승윤, 김진우, 송민호, 이승훈 ) 브랜드는 참여지수 20만5226 미디어지수 99만6958 소통지수 46만2756 커뮤니티지수 64만3132가 되면서 브랜드평판지수 230만8073으로 분석됐다. 지난 7월... ",http://www.shinailbo.co.kr/news/articleView.html?idxno=1587107,http://www.shinailbo.co.kr/news/articleView.html?idxno=1587107,"Mon, 15 Aug 2022 16:28:00 +0900"
53,"“행복한 광복절” 위너 강승윤→박재범, 잊지않고 태극기 게양한 ★들[종합]",이에 그룹 <b>위너</b> 리더 강승윤은 15일 오전 직접 운영 중인 공식 SNS에 태극기 이미지를 게재했다. 태극기 깃봉과 깃면 사이를 떼지 않고 다는 광복절 태극기 게양법을 감안해 SNS 상에서 태극기 이미지를 위쪽에 올려놓는... ,https://www.newsen.com/news_view.php?uid=202208151451400410,https://n.news.naver.com/mnews/article/609/0000615459?sid=106,"Mon, 15 Aug 2022 15:18:00 +0900"
54,"세종시, 출범 10주년 기념 청소년 요리대회 개최","현장평가로 진행된 본선은 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대 호텔외식조리학과 교수, 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다. 심사 결과 대상은... ",https://news.kmib.co.kr/article/view.asp?arcid=0017374053&code=61121111&cp=nv,https://n.news.naver.com/mnews/article/005/0001546520?sid=102,"Mon, 15 Aug 2022 13:17:00 +0900"
55,"세종시 출범 10주년, 요리를 창조하라","본선은 현장평가로 진행돼 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다.... ",http://www.bzeronews.com/news/articleView.html?idxno=526773,http://www.bzeronews.com/news/articleView.html?idxno=526773,"Mon, 15 Aug 2022 11:58:00 +0900"
56,"세종시 출범 10주년, 청소년 요리 경연대회 개최","본선은 현장평가로 진행돼 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다.... ",https://www.viva100.com/main/view.php?key=20220815010003572,https://www.viva100.com/main/view.php?key=20220815010003572,"Mon, 15 Aug 2022 11:20:00 +0900"
57,"세종시 출범 10주년, 전국 청소년 '요리를 창조하라'","본선은 현장평가로 진행했으며 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로... ",http://www.newstnt.com/news/articleView.html?idxno=223262,http://www.newstnt.com/news/articleView.html?idxno=223262,"Mon, 15 Aug 2022 10:46:00 +0900"
58,"세종시 출범 10주년, 요리를 창조하라","본선은 현장평가로 진행돼 한식대첩4 심사위원이었던 유지상 <b>위너</b>셰프 대표와 김덕한 대덕대학교 호텔외식조리학과 교수, 뉴스보다 맛집 등 요리프로그램을 다수 제작한 김정미 방송작가가 심사위원으로 참여했다.... ",http://www.chungnamilbo.co.kr/news/articleView.html?idxno=674363,http://www.chungnamilbo.co.kr/news/articleView.html?idxno=674363,"Mon, 15 Aug 2022 10:10:00 +0900"
59,"""활동 안 해도 괜찮아"" 방탄소년단★, 브랜드평판 1위 등극","8월 보이그룹 브랜드평판 30위 순위는 방탄소년단, 세븐틴, NCT, <b>위너</b>, 엑소, 슈퍼주니어, 더보이즈, 엔하이픈, 샤이니, 아스트로, 몬스타엑스, 빅뱅, 투모로우바이투게더, 스트레이 키즈, 비투비, FT아일랜드... ",http://moneys.mt.co.kr/news/mwView.php?no=2022081509344760947,https://n.news.naver.com/mnews/article/417/0000842810?sid=106,"Mon, 15 Aug 2022 09:43:00 +0900"
60,"[기획] ""대형마트부터 패션업계까지""…휴양지 마케팅 주력",15일 업계에 따르면 롯데마트는 내달 30일까지 양양에 팝업스토어를 열고 직접 개발한 이색과일 &apos;블랙<b>위너</b>수... 수박인 &apos;블랙<b>위너</b>수박&apos; 팝업스토어를 내달 말까지 선보인다. 롯데마트가 농우바이오와 함께 7년간 공동... ,http://www.m-i.kr/news/articleView.html?idxno=942389,http://www.m-i.kr/news/articleView.html?idxno=942389,"Mon, 15 Aug 2022 09:10:00 +0900"
61,"[내일 사볼까]""와이지엔터, 업종 최선호주…향후 1년이 가장 중요""","향후 아티스트 풀가동(블랙핑크, <b>위너</b>, 아이콘, 트레저, 빅뱅의 솔로 또는 유닛 등)이 기대된다&quot;며 &quot;밸류에이션 저평가와 아티스트 모멘텀이 접목되는 구간&quot;이라고 밝혔다. 와이지엔터테인먼트의 지난 2분기 실적은... ",http://news.heraldcorp.com/view.php?ud=20220812000682,https://n.news.naver.com/mnews/article/016/0002028466?sid=101,"Mon, 15 Aug 2022 07:53:00 +0900"
62,위너콰이어 “일본군 위안부 기림일” 위안부 피해자 위한 공연 올려..,특히 <b>위너</b>콰이어가 위안부 피해자들을 위로하고 그들의 삶을 재조명하는 창작 뮤지컬 &lt;마음에 새기다&gt;를 올려 오늘 행사를 더욱 뜻깊게 만들었다. 공연이 진행되는 동안 순간순간 울컥하는 행사장 관객들의 모습도 눈에... ,http://sports.khan.co.kr/news/sk_index.html?art_id=202208142352003&sec_id=560801&pt=nv,https://n.news.naver.com/mnews/article/144/0000831008?sid=106,"Sun, 14 Aug 2022 23:53:00 +0900"
63,"롯데뮤지엄, ‘레드닷 디자인 어워드’ 본상 수상","또한 아시아 디자인 프라이즈 2022에서 골드 <b>위너</b>를 수상해 디자인의 우수성을 세계적으로 인정받았다.한편, 레드닷 어워드는 미국의 IDEA(International Design Excellence Awards), 독일의iF(International Forum) 디자인... ",https://www.jungle.co.kr/magazine/204481,https://www.jungle.co.kr/magazine/204481,"Sun, 14 Aug 2022 23:28:00 +0900"
64,"에스파·위너·송가인·송준근, 전자신문 40주년 축전 전해","에스파(aespa)·<b>위너</b>(WINNER)·송가인·송준근 등 연예인들이 전자신문의 40살 생일 축하 영상을 보내왔다.... 에스파와 <b>위너</b>, 송가인, 송준근 등은 축전 첫 주자로 등장, 자연스러운 일상매력과 함께 전자신문 창간 40주년... ",http://www.etnews.com/20220814000084,https://n.news.naver.com/mnews/article/030/0003036888?sid=106,"Sun, 14 Aug 2022 20:25:00 +0900"
65,"[유튜브인기가수] 임영웅, 32주차 유튜브코리아 인기아티스트 1위…뉴진스·에...","뒤이어 51위 포스트 말론(1,677,240회), 52위 <b>위너</b>(1,614,488회), 53위 데이식스(1,565,403회), 54위 Snoop Dogg(스눕 독)(1,555,071회), 55위 청하(1,540,256회), 56위 토일(1,529,163회), 57위 아이즈원(1,511,564회)... ",http://www.topstarnews.net/news/articleView.html?idxno=14720481,http://www.topstarnews.net/news/articleView.html?idxno=14720481,"Sun, 14 Aug 2022 11:10:00 +0900"
